,Products_with_common_ingredient,The_common_ingredients
76,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'geraniol', 'glycerin'}"
77,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'geraniol', 'coumarin', 'citronellol', 'cyclomethicone'}"
78,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'aqua', 'cetearyl alcohol', 'citronellol'}"
79,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'cetearyl alcohol', 'butyl methoxydibenzoylmethane', 'cyclomethicone', 'geraniol', 'aqua', 'glycerin', 'alcohol denat', 'tocopheryl acetate', 'citronellol', 'parfum'}"
80,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'aqua', 'glycerin'}"
81,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'geraniol', 'tocopheryl acetate', 'glycerin', 'alcohol denat'}"
82,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'geraniol', 'aqua', 'parfum', 'citronellol'}"
83,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria')","{'geraniol', 'alpha-isomethyl ionone', 'alcohol denat', 'linalool', 'citronellol', 'propylene glycol'}"
84,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'aqua', 'parfum'}"
85,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'linalool', 'parfum', 'alpha-isomethyl ionone'}"
